,0,1,2
0,fox,trump,0.13316372274130925
1,fox,clinton,0.28161019772326423
2,fox,sanders,0.15709778474272992
3,fox,liberal,-0.008984116627176209
4,fox,conservative,0.09271549482479845
5,fox,men,-0.047832126492296255
6,fox,women,0.32595382439178516
7,flynn,trump,-0.022512392757052965
8,flynn,clinton,-0.165753274001086
9,flynn,sanders,-0.017798650585178644
10,flynn,liberal,0.014193918520628679
11,flynn,conservative,-0.1298641012326149
12,flynn,men,-0.18928406590185395
13,flynn,women,0.031816671447658686
14,cuck,trump,0.08516654510041784
15,cuck,clinton,0.0807382085344988
16,cuck,sanders,0.04560431516221635
17,cuck,liberal,0.24485887550510718
18,cuck,conservative,-0.09346546760085135
19,cuck,men,-0.0369281828786939
20,cuck,women,0.06035725268276081
21,pepe,trump,0.3028146786367556
22,pepe,clinton,0.158130711598603
23,pepe,sanders,0.17470714360035564
24,pepe,liberal,0.052263838958674806
25,pepe,conservative,-0.05716755650125762
26,pepe,men,0.18232324528763835
27,pepe,women,0.011252422592777476
28,god,trump,0.05021632415981155
29,god,clinton,0.17531522885189385
30,god,sanders,0.1635070427575586
31,god,liberal,0.02047742495186964
32,god,conservative,0.11374284795128424
33,god,men,-0.04313600924027756
34,god,women,0.10625552574432873
35,emperor,trump,0.15049917538752444
36,emperor,clinton,0.12401704720591962
37,emperor,sanders,0.19474195296202876
38,emperor,liberal,-0.11376820468150221
39,emperor,conservative,-0.05915496250371816
40,emperor,men,0.13137766930348363
41,emperor,women,0.08160686987526365
42,bitch,trump,-0.0012340545843017557
43,bitch,clinton,0.03208674962533462
44,bitch,sanders,-0.09945708790322623
45,bitch,liberal,0.17857065323267066
46,bitch,conservative,0.05575133429426218
47,bitch,men,0.10076582134080349
48,bitch,women,-0.04146443107385047
49,alpha,trump,-0.09802870320996258
50,alpha,clinton,-0.030105897600467103
51,alpha,sanders,-0.00016367197083031146
52,alpha,liberal,-0.18343061100900726
53,alpha,conservative,-0.03309426489752928
54,alpha,men,-0.021185529585462593
55,alpha,women,0.014573624428808567
56,establishment,trump,0.004119715867776737
57,establishment,clinton,0.08489811657486823
58,establishment,sanders,0.06811594330128166
59,establishment,liberal,-0.01165023961942136
60,establishment,conservative,0.07476565564898958
61,establishment,men,0.022711110823831582
62,establishment,women,0.08023238723558491
63,soros,trump,0.2572851698034387
64,soros,clinton,0.25272286395465554
65,soros,sanders,-0.04158939089893988
66,soros,liberal,0.04560424198489568
67,soros,conservative,-0.07671220477636993
68,soros,men,0.08524950368355394
69,soros,women,0.1774278865241177
70,prison,trump,0.056643732550490156
71,prison,clinton,0.10091363013314958
72,prison,sanders,0.008642531188174605
73,prison,liberal,-0.07671960319005638
74,prison,conservative,-0.06744803537989276
75,prison,men,0.10360951860790786
76,prison,women,0.11517129627137486
77,email,trump,0.6761137085031718
78,email,clinton,0.5863903180526034
79,email,sanders,0.34231389309817367
80,email,liberal,0.20493447814391327
81,email,conservative,0.06537363002970493
82,email,men,0.11038736951987889
83,email,women,0.2358869288050421
84,corrupt,trump,0.09092062439446563
85,corrupt,clinton,0.11493423285520497
86,corrupt,sanders,-0.24828642734589693
87,corrupt,liberal,0.19499630887226635
88,corrupt,conservative,0.13262482626104652
89,corrupt,men,0.046136137535381684
90,corrupt,women,0.034512696268930644
91,good,trump,0.5227567100232328
92,good,clinton,0.5171229878502533
93,good,sanders,0.24186826774420037
94,good,liberal,0.19262675326774578
95,good,conservative,-0.021224607899502815
96,good,men,-0.0017352590120725357
97,good,women,0.1636887755762412
98,evil,trump,0.1342273720373097
99,evil,clinton,0.12033779293963542
100,evil,sanders,0.017682147168869244
101,evil,liberal,0.08443419037617199
102,evil,conservative,0.06080315179291548
103,evil,men,-0.058367816422161
104,evil,women,0.09760176390605702
105,smart,trump,0.12743190078754293
106,smart,clinton,0.0285011783460271
107,smart,sanders,0.07123784286165719
108,smart,liberal,0.04104628722629922
109,smart,conservative,0.012439778301680209
110,smart,men,0.00359792928477233
111,smart,women,0.09295895445388358
112,assault,trump,0.16807735711483515
113,assault,clinton,0.04765678264848405
114,assault,sanders,0.15883030809682366
115,assault,liberal,-0.14639706015526213
116,assault,conservative,-0.039641740507203614
117,assault,men,0.06840535903080924
118,assault,women,-0.047862709869033515
119,honest,trump,0.04757109735144496
120,honest,clinton,-0.017222483890360827
121,honest,sanders,0.24983191112788927
122,honest,liberal,-0.2271698137129443
123,honest,conservative,0.16238996769992767
124,honest,men,-0.0014567092985533967
125,honest,women,0.09347817851059355
126,brains,trump,0.1339183310915742
127,brains,clinton,0.2036550880836547
128,brains,sanders,-0.019627602576081773
129,brains,liberal,0.17280248781011479
130,brains,conservative,-0.04890509186658303
131,brains,men,0.059522860325150195
132,brains,women,-0.008599720870730486
133,president,trump,0.7374848661802532
134,president,clinton,0.5581051055319083
135,president,sanders,0.24160811470944324
136,president,liberal,0.21690645108082487
137,president,conservative,0.03661695051996786
138,president,men,0.09967516462565007
139,president,women,0.24040878550681266
140,feminist,trump,0.014641404957769869
141,feminist,clinton,0.0009522869812898909
142,feminist,sanders,0.07779222999725881
143,feminist,liberal,0.0990092472509761
144,feminist,conservative,-0.045369739298883154
145,feminist,men,0.034130700343799406
146,feminist,women,-0.20082069569133568
